split,class,filename,source_group,source_filename
test,abrasion,abrasion_kg1_0.jpg,abrasion_kg1_0.jpg,047fa6d0-7f15-4e26-8a90-6e684b806a32.jpg
test,abrasion,abrasion_kg1_10.jpg,abrasion_kg1_10.jpg,110.jpg
test,abrasion,abrasion_kg1_106.jpg,abrasion_kg1_106.jpg,217.jpg
test,abrasion,abrasion_kg1_114.jpg,abrasion_kg1_114.jpg,227.jpg
test,abrasion,abrasion_kg1_118.jpg,abrasion_kg1_118.jpg,231.jpg
test,abrasion,abrasion_kg1_125.jpg,abrasion_kg1_125.jpg,239.jpg
test,abrasion,abrasion_kg1_126.jpg,abrasion_kg1_0.jpg,240.jpg
test,abrasion,abrasion_kg1_131.jpg,abrasion_kg1_118.jpg,36296506-4ac4-4e6e-a6aa-5a48f34227be.jpg
test,abrasion,abrasion_kg1_134.jpg,abrasion_kg1_134.jpg,561292bb-6950-4a50-a0bf-1d1d0a6ad408.jpg
test,abrasion,abrasion_kg1_136.jpg,abrasion_kg1_136.jpg,5b2e255d-da6e-47af-b57b-6c23d75feb48.jpg
test,abrasion,abrasion_kg1_139.jpg,abrasion_kg1_139.jpg,62fe7d1a-e4f6-4ab9-8191-4fb63742bcaa.jpg
test,abrasion,abrasion_kg1_140.jpg,abrasion_kg1_140.jpg,64237548-2dd5-472b-a60d-fe7c1be47dab.jpg
test,abrasion,abrasion_kg1_151.jpg,abrasion_kg1_151.jpg,91.jpg
test,abrasion,abrasion_kg1_160.jpg,abrasion_kg1_160.jpg,a0ea80bd-7b79-452d-ac55-ddd84f9c0e32.jpg
test,abrasion,abrasion_kg1_161.jpg,abrasion_kg1_161.jpg,a192fc80-a86a-427e-bdef-0e95169e398d.jpg
test,abrasion,abrasion_kg1_167.jpg,abrasion_kg1_167.jpg,abrasions (21).jpg
test,abrasion,abrasion_kg1_170.jpg,abrasion_kg1_170.jpg,abrasions (34).jpg
test,abrasion,abrasion_kg1_178.jpg,abrasion_kg1_114.jpg,abrasions (55).jpg
test,abrasion,abrasion_kg1_193.jpg,abrasion_kg1_193.jpg,d48ce918-70dc-47be-8da8-5c6286ea2ea8.jpg
test,abrasion,abrasion_kg1_195.jpg,abrasion_kg1_195.jpg,fa25cee3-d94d-42b5-9ec8-6f09af59a9a9.jpg
test,abrasion,abrasion_kg1_2.jpg,abrasion_kg1_2.jpg,101.jpg
test,abrasion,abrasion_kg1_21.jpg,abrasion_kg1_21.jpg,121.jpg
test,abrasion,abrasion_kg1_25.jpg,abrasion_kg1_25.jpg,125.jpg
test,abrasion,abrasion_kg1_28.jpg,abrasion_kg1_28.jpg,128.jpg
test,abrasion,abrasion_kg1_29.jpg,abrasion_kg1_29.jpg,129.jpg
test,abrasion,abrasion_kg1_39.jpg,abrasion_kg1_39.jpg,140.jpg
test,abrasion,abrasion_kg1_41.jpg,abrasion_kg1_41.jpg,142.jpg
test,abrasion,abrasion_kg1_42.jpg,abrasion_kg1_42.jpg,143.jpg
test,abrasion,abrasion_kg1_45.jpg,abrasion_kg1_114.jpg,146.jpg
test,abrasion,abrasion_kg1_48.jpg,abrasion_kg1_118.jpg,150.jpg
test,abrasion,abrasion_kg1_53.jpg,abrasion_kg1_0.jpg,159.jpg
test,abrasion,abrasion_kg1_54.jpg,abrasion_kg1_54.jpg,160.jpg
test,abrasion,abrasion_kg1_57.jpg,abrasion_kg1_57.jpg,163.jpg
test,abrasion,abrasion_kg1_59.jpg,abrasion_kg1_59.jpg,165.jpg
test,abrasion,abrasion_kg1_6.jpg,abrasion_kg1_6.jpg,106.jpg
test,abrasion,abrasion_kg1_60.jpg,abrasion_kg1_161.jpg,166.jpg
test,abrasion,abrasion_kg1_75.jpg,abrasion_kg1_75.jpg,184.jpg
test,abrasion,abrasion_kg1_78.jpg,abrasion_kg1_167.jpg,187.jpg
test,abrasion,abrasion_kg1_84.jpg,abrasion_kg1_84.jpg,193.jpg
test,abrasion,abrasion_kg1_86.jpg,abrasion_kg1_86.jpg,196.jpg
test,abrasion,abrasion_kg1_99.jpg,abrasion_kg1_29.jpg,210.jpg
test,bruise,bruise_kg1_1.jpg,bruise_kg1_1.jpg,020d5205-425d-4d7f-8895-f806e3e3d89b.jpg
test,bruise,bruise_kg1_102.jpg,bruise_kg1_102.jpg,233.jpg
test,bruise,bruise_kg1_114.jpg,bruise_kg1_114.jpg,36ca0da1-44be-4ab5-9ce3-41e545a6f082.jpg
test,bruise,bruise_kg1_115.jpg,bruise_kg1_115.jpg,36e7c0dd-f6e2-45e6-a3ab-fcec9d8bd526.jpg
test,bruise,bruise_kg1_116.jpg,bruise_kg1_116.jpg,46cad117-91f5-4845-8c73-3e63a90504c3.jpg
test,bruise,bruise_kg1_119.jpg,bruise_kg1_119.jpg,4d3c2d80-bc89-45a2-b7fd-33a22a02abc6.png
test,bruise,bruise_kg1_12.jpg,bruise_kg1_12.jpg,130.jpg
test,bruise,bruise_kg1_122.jpg,bruise_kg1_122.jpg,58867b56-8938-4637-8a4e-fff67c504bbc.jpg
test,bruise,bruise_kg1_127.jpg,bruise_kg1_127.jpg,a872c656-8676-4b81-a3ac-4a1f7f621f4e.jpg
test,bruise,bruise_kg1_130.jpg,bruise_kg1_130.jpg,affc2c37-5276-47fc-b3ed-b0ec876135f3.jpg
test,bruise,bruise_kg1_133.jpg,bruise_kg1_133.jpg,bruises (106).jpg
test,bruise,bruise_kg1_136.jpg,bruise_kg1_136.jpg,bruises (113).jpg
test,bruise,bruise_kg1_139.jpg,bruise_kg1_139.jpg,bruises (15).jpg
test,bruise,bruise_kg1_143.jpg,bruise_kg1_143.jpg,bruises (31).jpg
test,bruise,bruise_kg1_146.jpg,bruise_kg1_146.jpg,bruises (37).jpg
test,bruise,bruise_kg1_154.jpg,bruise_kg1_154.jpg,bruises (88).jpg
test,bruise,bruise_kg1_159.jpg,bruise_kg1_136.jpg,ca02a805-7235-45a9-8dc8-2a0a6074e6f6.jpg
test,bruise,bruise_kg1_161.jpg,bruise_kg1_161.jpg,daa926f9-8fbd-4b20-a9f3-90b8375964e1.jpg
test,bruise,bruise_kg1_19.jpg,bruise_kg1_19.jpg,137.jpg
test,bruise,bruise_kg1_28.jpg,bruise_kg1_28.jpg,147.jpg
test,bruise,bruise_kg1_3.jpg,bruise_kg1_3.jpg,08792aab-a37f-4471-9b8f-2f058c7e4a5f.jpg
test,bruise,bruise_kg1_32.jpg,bruise_kg1_1.jpg,151.jpg
test,bruise,bruise_kg1_33.jpg,bruise_kg1_154.jpg,152.jpg
test,bruise,bruise_kg1_37.jpg,bruise_kg1_37.jpg,157.jpg
test,bruise,bruise_kg1_52.jpg,bruise_kg1_52.jpg,173.jpg
test,bruise,bruise_kg1_53.jpg,bruise_kg1_53.jpg,174.jpg
test,bruise,bruise_kg1_59.jpg,bruise_kg1_59.jpg,181.jpg
test,bruise,bruise_kg1_6.jpg,bruise_kg1_6.jpg,124.jpg
test,bruise,bruise_kg1_71.jpg,bruise_kg1_71.jpg,195.jpg
test,bruise,bruise_kg1_77.jpg,bruise_kg1_77.jpg,205.jpg
test,bruise,bruise_kg1_85.jpg,bruise_kg1_85.jpg,214.jpg
test,bruise,bruise_kg1_90.jpg,bruise_kg1_90.jpg,219.jpg
test,bruise,bruise_kg1_91.jpg,bruise_kg1_136.jpg,221.jpg
test,burn_1st_degree,burn_1st_degree_kg2_1010.jpg,burn_1st_degree_kg2_1010.jpg,img937.jpg
test,burn_1st_degree,burn_1st_degree_kg2_1027.jpg,burn_1st_degree_kg2_1027.jpg,img968.jpg
test,burn_1st_degree,burn_1st_degree_kg2_1029.jpg,burn_1st_degree_kg2_1029.jpg,img97.jpg
test,burn_1st_degree,burn_1st_degree_kg2_103.jpg,burn_1st_degree_kg2_103.jpg,img116.jpg
