filename,class,burn_degree,source_filename,augmented
abrasion_kg1_0.jpg,abrasion,,047fa6d0-7f15-4e26-8a90-6e684b806a32.jpg,no
abrasion_kg1_1.jpg,abrasion,,100.jpg,no
abrasion_kg1_2.jpg,abrasion,,101.jpg,no
abrasion_kg1_3.jpg,abrasion,,102.jpg,no
abrasion_kg1_4.jpg,abrasion,,104.jpg,no
abrasion_kg1_5.jpg,abrasion,,105.jpg,no
abrasion_kg1_6.jpg,abrasion,,106.jpg,no
abrasion_kg1_7.jpg,abrasion,,107.jpg,no
abrasion_kg1_8.jpg,abrasion,,108.jpg,no
abrasion_kg1_9.jpg,abrasion,,109.jpg,no
abrasion_kg1_10.jpg,abrasion,,110.jpg,no
abrasion_kg1_11.jpg,abrasion,,111.jpg,no
abrasion_kg1_12.jpg,abrasion,,112.jpg,no
abrasion_kg1_13.jpg,abrasion,,113.jpg,no
abrasion_kg1_14.jpg,abrasion,,114.jpg,no
abrasion_kg1_15.jpg,abrasion,,115.jpg,no
abrasion_kg1_16.jpg,abrasion,,116.jpg,no
abrasion_kg1_17.jpg,abrasion,,117.jpg,no
abrasion_kg1_18.jpg,abrasion,,118.jpg,no
abrasion_kg1_19.jpg,abrasion,,119.jpg,no
abrasion_kg1_20.jpg,abrasion,,120.jpg,no
abrasion_kg1_21.jpg,abrasion,,121.jpg,no
abrasion_kg1_22.jpg,abrasion,,122.jpg,no
abrasion_kg1_23.jpg,abrasion,,123.jpg,no
abrasion_kg1_24.jpg,abrasion,,124.jpg,no
abrasion_kg1_25.jpg,abrasion,,125.jpg,no
abrasion_kg1_26.jpg,abrasion,,126.jpg,no
abrasion_kg1_27.jpg,abrasion,,127.jpg,no
abrasion_kg1_28.jpg,abrasion,,128.jpg,no
abrasion_kg1_29.jpg,abrasion,,129.jpg,no
abrasion_kg1_30.jpg,abrasion,,130.jpg,no
abrasion_kg1_31.jpg,abrasion,,131.jpg,no
abrasion_kg1_32.jpg,abrasion,,132.jpg,no
abrasion_kg1_33.jpg,abrasion,,134.jpg,no
abrasion_kg1_34.jpg,abrasion,,135.jpg,no
abrasion_kg1_35.jpg,abrasion,,136.jpg,no
abrasion_kg1_36.jpg,abrasion,,137.jpg,no
abrasion_kg1_37.jpg,abrasion,,138.jpg,no
abrasion_kg1_38.jpg,abrasion,,139.jpg,no
abrasion_kg1_39.jpg,abrasion,,140.jpg,no
abrasion_kg1_40.jpg,abrasion,,141.jpg,no
abrasion_kg1_41.jpg,abrasion,,142.jpg,no
abrasion_kg1_42.jpg,abrasion,,143.jpg,no
abrasion_kg1_43.jpg,abrasion,,144.jpg,no
abrasion_kg1_44.jpg,abrasion,,145.jpg,no
abrasion_kg1_45.jpg,abrasion,,146.jpg,no
abrasion_kg1_46.jpg,abrasion,,147.jpg,no
abrasion_kg1_47.jpg,abrasion,,148.jpg,no
